Position;AllowMultipleSelections;Question;Q1;Q1B;Q2;Q2B;Q3;Q3B;Q4;Q4B;Q5;Q5B;Q6;Q6B;Q7;Q7B
1;0;Укажите, пожалуйста, ваш гендер (пол);Женщина;0;Мужчина;0;Бигендерная идентификация;1;;;;;;;;
2;0;Укажите ваш возраст;с 14 до 120;1;;;;;;;;;;;;
3;0;Укажите ваше образование;Неоконченное общее среднее;0;Общее среднее;0;Среднее специальное;0;Высшее;0;;;;;;
4;1;Имеются ли у вас хронические заболевания либо проблемы со здоровьем, беспокоящие длительное время? Если имеются – выберите, какая из система вашего организма беспокоит больше всего (возможно несколько выборов);"Центральная нервная система (например, мигрени, головные боли, опухоли и др.);";0;Дыхательная система (например, гаймориты, синуситы, боли в области шеи и др.);0;Сердечно-сосудистая система (например, гипертония, болезни сердца, проблемы с кровообращением и др.);0;Пищеварительная система (гастриты, панкреотиты, нарушения обмена веществ, истощение и др.);0;Мочеполовая система (болезни почек, проблемы с репродуктивной системой, заболевания половых органов и др.);0;Опорно-двигательная система (артрит, артрозы, серьезные переломы, сколиозы и др.);0;Опишите свое состояние здоровья;1
5;0;Как вы оцениваете качество своих социальных отношений (отношения с коллегами, друзьями, партнерами);;0;Отлично;0;Хорошо;0;Удовлетворительно;0;Неудовлетворительно;0;;;;
6;0;Как вы оцениваете свое финансовое положение?;Отлично;0;Хорошо;0;Удовлетворительно;0;Неудовлетворительно;0;;;;;;
7;0;В последнее время вы уделяете время своим хобби и интересам?;Уделяю;0;Уделяю гораздо меньше;0;Не уделяю;0;;;;;;;;
8;1;Случались ли за последний год значимые для вас изменения в жизни (возможно несколько выборов)?;Увольнение, смена работы;0;Развод;0;Рождение детей;0;Серьезные болезни, смерть близких;0;Смена места жительства, переезд;0;Другое (написать);1;;
9;0;Вы часто беспокоитесь о будущем?;Редко;0;Иногда беспокоюсь;0;Беспокоюсь об определенных аспектах жизни;1;Постоянное беспокойство;0;;;;;;
10;0;Вас беспокоят мысли, которые вы не можете выбросить из головы уже длительное время?;Да, беспокоят;0;Нет, не беспокоят;0;У меня нет таких мыслей;0;;;;;;;;
11;0;Вы чувствуете свою беспомощность в жизненных ситуациях;Нет, не чувствую;0;Да, чувствую в определенных ситуациях (опишите в одном-двух предложениях);1;Чувствую регулярно;0;;;;;;;;
12;0;Вы вспоминаете о прошлом?;Редко вспоминаю;0;Вспоминаю спокойно;0;Вспоминаю с грустью;0;;;;;;;;
13;0;Как вы оцениваете свою удовлетворенность жизнью?;Практически удовлетворен;0;"Удовлетворен всем, кроме (например, личной жизни, профессии, самооценки и др.);";1;Удовлетворен в базовых потребностях;0;Испытываю трудности в удовлетворении базовых потребностей;0;;;;;;
14;0;Где вы узнали о нашем приложении?; ;1;;;;;;;;;;;;
